[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=1.0 policy=no_raw seed=42 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=4.0 policy=cluster_csv seed=42 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=4.0 policy=cluster_csv seed=7 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=4.0 policy=cluster_csv seed=99 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=4.0 policy=cluster_adaptive seed=42 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=4.0 policy=cluster_adaptive seed=7 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=4.0 policy=cluster_adaptive seed=99 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=4.0 policy=laca seed=42 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=4.0 policy=laca seed=7 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=4.0 policy=laca seed=99 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=4.0 policy=chang2019 seed=42 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=4.0 policy=chang2019 seed=7 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=4.0 policy=chang2019 seed=99 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=no_raw seed=42 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=no_raw seed=7 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=no_raw seed=99 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=static seed=42 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=static seed=7 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=static seed=99 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=adaptive seed=42 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=adaptive seed=7 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=adaptive seed=99 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=cluster_csv seed=42 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=cluster_csv seed=7 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=cluster_csv seed=99 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=cluster_adaptive seed=42 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=cluster_adaptive seed=7 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=cluster_adaptive seed=99 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=laca seed=42 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=laca seed=7 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=laca seed=99 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=chang2019 seed=42 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=chang2019 seed=7 -- cached, skipping
[uav_assoc_energy_vs_interval_seeds.csv] N=500 interval=5.0 policy=chang2019 seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=no_raw seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=no_raw seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=no_raw seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=static seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=static seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=static seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=adaptive seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=adaptive seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=adaptive seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=cluster_csv seed=42 ...
  -> pdr=0.9833 assoc_mean=4538.0ms assoc_frac=1.000 e_total=460.218mJ ee=52.51kbit/J elapsed=2.5s
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=cluster_csv seed=7 ...
  -> pdr=0.9871 assoc_mean=4240.5ms assoc_frac=1.000 e_total=451.238mJ ee=53.76kbit/J elapsed=2.6s
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=cluster_csv seed=99 ...
  -> pdr=0.9875 assoc_mean=4175.6ms assoc_frac=1.000 e_total=450.922mJ ee=53.82kbit/J elapsed=2.6s
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=cluster_adaptive seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=cluster_adaptive seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=cluster_adaptive seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=laca seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=laca seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=laca seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=chang2019 seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=chang2019 seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=100 interval=5.0 policy=chang2019 seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=no_raw seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=no_raw seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=no_raw seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=static seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=static seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=static seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=adaptive seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=adaptive seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=adaptive seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=cluster_csv seed=42 ...
  -> pdr=0.7294 assoc_mean=9694.5ms assoc_frac=1.000 e_total=609.927mJ ee=29.39kbit/J elapsed=7.6s
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=cluster_csv seed=7 ...
  -> pdr=0.7331 assoc_mean=9620.3ms assoc_frac=1.000 e_total=607.227mJ ee=29.67kbit/J elapsed=8.1s
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=cluster_csv seed=99 ...
  -> pdr=0.7360 assoc_mean=9103.3ms assoc_frac=1.000 e_total=597.978mJ ee=30.25kbit/J elapsed=8.0s
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=cluster_adaptive seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=cluster_adaptive seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=cluster_adaptive seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=laca seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=laca seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=laca seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=chang2019 seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=chang2019 seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=200 interval=5.0 policy=chang2019 seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=no_raw seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=no_raw seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=no_raw seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=static seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=static seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=static seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=adaptive seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=adaptive seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=adaptive seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=cluster_csv seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=cluster_csv seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=cluster_csv seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=cluster_adaptive seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=cluster_adaptive seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=cluster_adaptive seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=laca seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=laca seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=laca seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=chang2019 seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=chang2019 seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=400 interval=5.0 policy=chang2019 seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=no_raw seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=no_raw seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=no_raw seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=static seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=static seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=static seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=adaptive seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=adaptive seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=adaptive seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=cluster_csv seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=cluster_csv seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=cluster_csv seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=cluster_adaptive seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=cluster_adaptive seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=cluster_adaptive seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=laca seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=laca seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=laca seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=chang2019 seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=chang2019 seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=600 interval=5.0 policy=chang2019 seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=no_raw seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=no_raw seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=no_raw seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=static seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=static seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=static seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=adaptive seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=adaptive seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=adaptive seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=cluster_csv seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=cluster_csv seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=cluster_csv seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=cluster_adaptive seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=cluster_adaptive seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=cluster_adaptive seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=laca seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=laca seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=laca seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=chang2019 seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=chang2019 seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=800 interval=5.0 policy=chang2019 seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=no_raw seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=no_raw seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=no_raw seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=static seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=static seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=static seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=adaptive seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=adaptive seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=adaptive seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=cluster_csv seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=cluster_csv seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=cluster_csv seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=cluster_adaptive seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=cluster_adaptive seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=cluster_adaptive seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=laca seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=laca seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=laca seed=99 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=chang2019 seed=42 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=chang2019 seed=7 -- cached, skipping
[uav_assoc_energy_vs_n_seeds.csv] N=1000 interval=5.0 policy=chang2019 seed=99 -- cached, skipping
Done.
