pkt_interval_s,num_stas,policy,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,e_total_mj,e_tx_mj,e_rx_mj,e_idle_mj,e_sleep_mj,e_retx_mj,retx_energy_pct,avg_tx_retries,ee_kbit_j,e_per_pkt_uj,assoc_mean_ms,assoc_max_ms,assoc_scan_ms,assoc_auth_ms,assoc_req_ms,assoc_frac
1.0,500,adaptive,7,0.119183,61.021867,7752.958361,14864.167319,0.880817,0.78712,0.00251,0.00251,0.114326,416.614288,27.266362,102.574209,233.514532,53.259185,0.018,0.004321,0.01,35.153014,29129.792175,7878.094419,9915.837333,7.1,3788.742611,4082.251808,1.0
1.0,500,adaptive,99,0.119067,60.962133,7753.225558,14931.067583,0.880933,0.8037,0.002184,0.002184,0.114334,416.247542,27.253315,102.576057,233.149846,53.268324,0.0324,0.007784,0.018,35.149546,29132.66674,7834.595549,9854.874667,7.1,3801.195261,4026.300288,1.0
2.0,500,static,42,0.119567,30.609067,10570.77334,24687.391933,0.880433,0.782113,0.001252,0.001252,0.060665,376.507246,14.417184,102.069162,206.03496,53.98594,0.0072,0.001912,0.004,19.51138,52482.192044,7540.63452,9040.205333,7.1,3767.749008,3765.785512,1.0
2.0,500,static,7,0.1195,30.592,10558.048839,25680.982481,0.8805,0.804382,0.002504,0.002504,0.060736,378.537463,14.426976,102.068735,208.107653,53.934099,0.0072,0.001902,0.004,19.395914,52794.62525,7653.735232,9245.909333,7.1,3792.594851,3854.040381,1.0
2.0,500,static,99,0.119533,30.600533,10595.698901,25714.706902,0.880467,0.805784,0.001788,0.001788,0.060802,378.790222,14.430576,102.070441,208.361475,53.927729,0.0072,0.001901,0.004,19.388378,52815.145236,7677.507491,9267.834667,7.1,3810.115371,3860.29212,1.0
2.0,500,laca,42,0.176733,45.243733,4641.358938,8444.620077,0.823267,0.765385,0.40056,0.399287,0.992131,492.935866,36.640915,102.27974,302.504438,51.510772,11.5056,2.334097,6.392,22.028213,46485.84172,10145.470717,16192.677333,7.1,3774.973157,6363.39756,1.0
2.0,500,laca,7,0.171367,43.869867,4718.352444,8504.736594,0.828633,0.756619,0.416921,0.415566,0.992844,495.745039,36.736051,102.254715,305.313797,51.440476,12.1032,2.441416,6.724,21.238272,48214.845243,10067.128647,16155.529333,7.1,3774.124102,6285.904545,0.998
2.0,500,laca,99,0.1746,44.6976,4745.107986,8878.119875,0.8254,0.758501,0.40687,0.405768,0.993131,491.224509,36.677443,102.270214,300.721533,51.55532,11.8224,2.40672,6.568,21.838129,46890.464819,10058.673965,15798.397333,7.1,3810.057952,6241.516013,1.0
2.0,500,chang2019,42,0.062,15.872,4159.494841,6086.93373,0.938,0.675703,0.745158,0.715132,1.0,926.80384,36.79872,101.702889,747.922702,40.379529,24.4152,2.634344,13.564,4.110125,249140.817168,15190.298541,25991.909333,7.1,3772.638619,11410.559923,1.0
2.0,500,chang2019,7,0.063067,16.145067,4039.668557,6031.509444,0.936933,0.603246,0.741703,0.712157,1.0,941.829545,36.766138,101.710282,763.359484,39.993641,24.264,2.576262,13.48,4.114137,248897.871299,15251.425789,26012.817333,7.1,3784.178747,11460.147043,1.0
2.0,500,chang2019,99,0.061,15.616,4252.123597,6047.931787,0.939,0.711775,0.748521,0.717921,1.0,927.587217,36.840432,101.698481,748.687988,40.360317,24.4836,2.639493,13.602,4.040418,253439.130444,15183.363667,25995.205333,7.1,3814.42684,11361.836827,1.0
2.0,500,adaptive,42,0.2382,60.9792,6607.232921,13936.266557,0.7618,0.813665,0.002729,0.002729,0.114134,414.839845,27.255446,102.574777,231.705176,53.304445,0.036,0.008678,0.02,35.278694,29026.017704,7760.943771,9704.648,7.1,3776.749565,3977.094205,1.0
2.0,500,adaptive,7,0.238367,61.021867,6600.119557,13937.676582,0.761633,0.799263,0.002292,0.002292,0.114201,420.593833,27.261341,102.574066,237.601397,53.157029,0.0216,0.005136,0.012,34.820406,29408.043146,7858.765472,9857.977333,7.1,3788.161291,4063.504182,0.998
2.0,500,adaptive,99,0.238133,60.962133,6609.763466,13981.514114,0.761867,0.794995,0.002947,0.002947,0.114756,420.695808,27.257626,102.575346,237.708485,53.154352,0.0144,0.003423,0.008,34.777889,29443.995553,7844.888246,9817.506667,7.1,3800.546803,4037.241443,0.998
3.0,500,static,42,0.1794,30.6176,9670.31844,23896.790254,0.8206,0.798906,0.001073,0.001073,0.060656,376.426406,14.418307,102.069446,205.95061,53.988043,0.0,0.0,0.0,19.521011,52456.299637,7542.308352,9065.268,7.1,3767.749008,3767.459344,1.0
3.0,500,static,7,0.17925,30.592,9708.280962,23712.065568,0.82075,0.824406,0.00161,0.00161,0.060592,377.937259,14.416176,102.069019,207.502816,53.949247,0.0,0.0,0.0,19.426717,52710.914818,7631.539339,9158.766667,7.1,3792.594851,3831.844488,1.0
3.0,500,static,99,0.1791,30.5664,9627.298159,24278.18575,0.8209,0.814571,0.00161,0.00161,0.060708,382.508549,14.416176,102.070015,212.190306,53.832052,0.0036,0.000941,0.002,19.178489,53393.15311,7654.213379,9148.473333,7.1,3808.979663,3838.133715,0.998
3.0,500,laca,42,0.25715,43.886933,3659.080969,7887.659944,0.74285,0.780135,0.414117,0.412931,0.99155,490.471584,36.715392,102.258696,299.922204,51.575291,11.6244,2.370046,6.458,21.474973,47683.412754,10025.323912,16071.58,7.1,3774.973157,6243.250755,1.0
3.0,500,laca,7,0.25495,43.511467,3759.244599,7917.393845,0.74505,0.795256,0.418036,0.417104,0.990168,489.307893,36.751094,102.253009,298.697946,51.605844,11.7108,2.39334,6.506,21.341883,47980.770043,9926.7842,15879.437333,7.1,3772.483485,6147.200715,1.0
3.0,500,laca,99,0.2578,43.997867,3682.113482,7915.006827,0.7422,0.786862,0.412747,0.41173,0.991245,490.692261,36.712733,102.261114,300.148801,51.569614,11.6136,2.366779,6.452,21.519573,47584.587003,10024.068712,15994.553333,7.1,3810.057952,6206.91076,1.0
3.0,500,chang2019,42,0.0916,15.633067,3434.971465,5923.586859,0.9084,0.641235,0.743987,0.716209,1.0,962.144649,36.751325,101.704453,784.21657,39.472302,24.5232,2.548806,13.624,3.899555,262594.063721,15146.420645,25993.654667,7.1,3772.582493,11366.738152,1.0
3.0,500,chang2019,7,0.0905,15.445333,3487.90182,6080.604276,0.9095,0.636507,0.749048,0.718927,1.0,973.534353,36.787622,101.695637,795.870161,39.180932,24.6708,2.534148,13.706,3.807652,268932.141621,14959.228616,26011.565333,7.1,3778.584299,11173.544317,1.0
3.0,500,chang2019,99,0.0918,15.6672,3386.05654,5971.967708,0.9082,0.608575,0.745451,0.716933,1.0,965.745623,36.783725,101.702747,787.878474,39.380678,24.5484,2.541912,13.638,3.893497,263002.620637,15026.032325,25968.446667,7.1,3807.227763,11211.704563,1.0
3.0,500,adaptive,42,0.3576,61.0304,4906.456014,11742.381702,0.6424,0.803955,0.002509,0.002509,0.114354,420.826684,27.26448,102.575631,237.835417,53.151157,0.0108,0.002566,0.006,34.806006,29420.210021,7839.103482,9901.989333,7.1,3776.118383,4055.885098,0.998
3.0,500,adaptive,7,0.35735,60.987733,4991.011468,11694.741454,0.64265,0.803102,0.001965,0.001965,0.114586,420.195365,27.257741,102.574351,237.196104,53.167169,0.018,0.004284,0.01,34.83393,29396.625499,7842.799009,9742.293333,7.1,3788.213558,4047.485451,0.998
3.0,500,adaptive,99,0.35715,60.9536,4966.514908,11664.120374,0.64285,0.80913,0.003275,0.003275,0.114413,417.138807,27.260515,102.57492,234.057757,53.245615,0.018,0.004315,0.01,35.069535,29199.132497,7886.454952,9874.122667,7.1,3801.195261,4078.159691,1.0
4.0,500,static,42,0.239067,30.600533,8643.972454,22888.012699,0.760933,0.819351,0.001788,0.001788,0.060682,376.792754,14.423558,102.069019,206.321414,53.978762,0.0036,0.000955,0.002,19.49116,52536.636027,7559.873899,9100.330667,7.1,3767.749008,3785.024891,1.0
4.0,500,static,7,0.2394,30.6432,8550.061058,23105.911802,0.7606,0.817701,0.002503,0.002503,0.060805,378.934961,14.433763,102.069019,208.508112,53.924066,0.0,0.0,0.0,19.407995,52761.760078,7669.795181,9261.658667,7.1,3792.594851,3870.100331,1.0
4.0,500,static,99,0.2388,30.5664,8628.442462,22934.206477,0.7612,0.835542,0.003219,0.003219,0.060724,378.345623,14.425325,102.069162,207.912149,53.938988,0.0108,0.002855,0.006,19.389509,52812.063547,7660.154264,9236.34,7.1,3810.115371,3842.938893,1.0
4.0,500,laca,42,0.343,43.904,3147.67115,7378.333873,0.657,0.851455,0.411351,0.410333,0.990242,484.239583,36.673133,102.262393,293.56987,51.734187,11.5488,2.384935,6.416,21.759807,47059.240308,9704.860699,15570.221333,7.1,3774.973157,5922.787541,1.0
4.0,500,laca,7,0.344933,44.151467,3012.483308,7375.044265,0.655067,0.839044,0.408577,0.407304,0.990422,483.614668,36.632525,102.265948,292.966848,51.749346,11.5452,2.387273,6.414,21.910733,46735.085766,9678.224973,15525.093333,7.1,3772.483485,5898.641488,1.0
4.0,500,laca,99,0.341067,43.656533,3121.009411,7039.362678,0.658933,0.856142,0.413506,0.412319,0.990634,484.844458,36.680678,102.258839,294.186154,51.718787,11.772,2.427995,6.54,21.610163,47385.111212,9726.736363,15556.901333,7.1,3810.057952,5909.578411,1.0
4.0,500,chang2019,42,0.1178,15.0784,3092.598271,6014.562537,0.8822,0.682691,0.751161,0.721852,1.0,924.122504,36.862925,101.693362,745.116637,40.449579,24.9192,2.696526,13.844,3.915948,261494.766147,14627.358645,25502.969333,7.1,3772.638619,10847.620027,1.0
4.0,500,chang2019,7,0.1168,14.9504,2975.797238,5849.140801,0.8832,0.689145,0.75,0.722457,1.0,925.269372,36.861619,101.695353,746.292223,40.420177,24.894,2.69046,13.83,3.877893,264060.893793,14710.783353,26406.374667,7.1,3781.378287,10922.305066,0.998
4.0,500,chang2019,99,0.1162,14.8736,3092.969872,5757.154351,0.8838,0.711237,0.753883,0.72527,1.0,924.342533,36.90193,101.68995,745.305886,40.444767,24.8688,2.690431,13.816,3.861841,265158.500454,15010.879485,26395.24,7.1,3801.605659,11202.173827,1.0
4.0,500,adaptive,42,0.475867,60.910933,4174.095998,9308.486044,0.524133,0.871556,0.003928,0.003928,0.11849,415.992083,27.265834,102.57364,232.877492,53.275118,0.018,0.004327,0.01,35.141592,29139.260481,7826.475904,9824.333333,7.1,3776.749565,4042.626339,1.0
4.0,500,adaptive,7,0.476533,60.996267,4109.431455,9216.942743,0.523467,0.846387,0.003164,0.003164,0.118637,417.927336,27.279226,102.573782,234.848525,53.225803,0.0108,0.002584,0.006,35.027869,29233.865128,7931.717563,9986.902667,7.1,3788.742611,4135.874952,1.0
4.0,500,adaptive,99,0.475867,60.910933,4207.229777,9297.657662,0.524133,0.861817,0.003711,0.003711,0.118612,417.102245,27.263174,102.574635,234.017827,53.246608,0.0252,0.006042,0.014,35.048059,29217.024717,7896.469451,9865.664,7.1,3801.195261,4088.174189,1.0
5.0,500,static,42,0.298667,30.583467,7648.483999,20434.967423,0.701333,0.856385,0.001431,0.001431,0.060648,376.739724,14.417597,102.069019,206.273122,53.979986,0.0036,0.000956,0.002,19.483032,52558.555188,7557.725811,9072.768,7.1,3767.749008,3782.876803,1.0
5.0,500,static,7,0.29875,30.592,7689.500307,20950.79595,0.70125,0.850903,0.001789,0.001789,0.060724,378.519021,14.423376,102.069162,208.091986,53.934497,0.0036,0.000951,0.002,19.396859,52792.05311,7656.34328,9213.212,7.1,3792.594851,3856.648429,1.0
5.0,500,static,99,0.298667,30.583467,7581.414605,20450.284544,0.701333,0.837406,0.003219,0.003219,0.060779,378.205309,14.42255,102.069019,207.77122,53.94252,0.0072,0.001904,0.004,19.407533,52763.017468,7651.412896,9204.266667,7.1,3810.115371,3834.197525,1.0
5.0,500,laca,42,0.426333,43.656533,2723.851985,6456.627298,0.573667,0.90266,0.407035,0.405928,0.989099,478.030295,36.512602,102.265664,287.362233,51.889797,12.0564,2.5221,6.698,21.918209,46719.145329,9421.945845,15014.653333,7.1,3774.973157,5639.872688,1.0
5.0,500,laca,7,0.425,43.52,2734.992436,6498.167526,0.575,0.898334,0.408785,0.407764,0.990399,477.493895,36.53255,102.263246,286.794134,51.903964,12.0528,2.524179,6.696,21.874206,46813.126934,9365.3056,14699.129333,7.1,3772.483485,5585.722115,1.0
5.0,500,laca,99,0.42,43.008,2772.02374,6814.185558,0.58,0.908673,0.416617,0.415513,0.990716,477.064342,36.629683,102.252298,286.265359,51.917002,12.2796,2.573992,6.822,21.636327,47327.811681,9326.514501,14283.009333,7.1,3810.057952,5509.356549,1.0
5.0,500,chang2019,42,0.14775,15.1296,2755.838744,5949.647067,0.85225,0.692042,0.746865,0.721196,1.0,976.734879,36.735686,101.699192,799.202255,39.097745,24.9768,2.557173,13.876,3.717594,275446.948341,14644.48598,25664.941333,7.1,3775.526424,10861.859556,0.998
5.0,500,chang2019,7,0.148583,15.214933,2717.393751,5767.761605,0.851417,0.66537,0.743377,0.719171,1.0,918.023621,36.781066,101.70687,738.931356,40.60433,24.9984,2.723067,13.888,3.977658,257437.919617,14315.438712,25475.461333,7.1,3784.598432,10523.740281,0.998
5.0,500,chang2019,99,0.144667,14.813867,2697.446107,5579.003359,0.855333,0.680139,0.750614,0.724109,1.0,970.2246,36.772262,101.693789,792.493134,39.265415,25.0452,2.581382,13.914,3.664438,279442.569254,14658.990643,26335.212,7.1,3806.128109,10845.762533,1.0
5.0,500,adaptive,42,0.594583,60.885333,4227.737199,10161.856909,0.405417,0.93756,0.003819,0.003819,0.133399,415.964841,27.266246,102.573782,232.848984,53.275828,0.0216,0.005193,0.012,35.129123,29149.603402,7833.906067,9828.578667,7.1,3776.749565,4050.056501,1.0
5.0,500,adaptive,7,0.595417,60.970667,4095.80649,10159.421068,0.404583,0.917726,0.00251,0.00251,0.133388,417.310564,27.2676,102.574209,234.227395,53.24136,0.0144,0.003451,0.008,35.064916,29202.97858,7913.150709,9905.812,7.1,3788.742611,4117.308099,1.0
5.0,500,adaptive,99,0.594667,60.893867,4216.187618,10195.896713,0.405333,0.917065,0.003711,0.003711,0.133419,416.557367,27.263174,102.574635,233.458977,53.26058,0.0252,0.00605,0.014,35.08407,29187.035224,7885.494301,9822.661333,7.1,3801.195261,4077.19904,1.0
