policy,n,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,e_total_mj,e_sleep_mj,e_idle_mj,ee_kbit_j,e_per_pkt_uj,aoi_s,dvr_pct,assoc_mean_s,assoc_max_s,assoc_frac
traw,100,7,1.0,20.48,972.284066,1946.587567,0.0,1.0,0.405772,0.405772,0.999538,431.127799,54.079954,194.703362,57.003979,17963.658292,3.3868,0.0,1.774393,2.371035,1.0
traw,100,99,1.0,20.48,968.612216,1939.739165,0.0,1.0,0.409407,0.409407,0.99977,431.888378,54.071946,194.968662,56.903592,17995.349071,3.383564,0.0,1.77678,2.502652,1.0
no_raw,200,42,0.243542,9.975467,2876.836683,4885.268567,0.756458,0.967682,0.923747,0.851678,1.0,2559.214125,0.0,2355.927533,2.338718,437846.727893,13.617594,76.333333,10.925493,24.96136,1.0
no_raw,200,7,0.246667,10.103467,2797.952689,4899.376667,0.753333,0.965998,0.922723,0.850469,1.0,2559.197452,0.0,2355.928011,2.368743,432296.866847,13.61633,76.041667,10.611604,24.645064,1.0
no_raw,200,99,0.24375,9.984,2760.921593,4844.589081,0.75625,0.96701,0.922742,0.851427,1.0,2559.212817,0.0,2355.927189,2.34072,437472.276467,13.629206,76.125,10.681874,25.000661,1.0
static,200,42,0.474375,19.4304,3170.451969,8356.159123,0.525625,0.744868,0.470493,0.470314,1.0,442.989476,52.970509,243.232163,26.317194,38909.92322,20.780773,60.3125,3.199984,3.935788,1.0
static,200,7,0.466667,19.114667,3193.580824,8080.948413,0.533333,0.721044,0.479771,0.479234,1.0,443.925684,52.948501,244.104715,25.834955,39636.221773,21.597554,60.916667,3.231919,3.960447,1.0
static,200,99,0.475208,19.464533,3167.302296,8518.869701,0.524792,0.727544,0.473637,0.472561,1.0,442.749249,52.976976,242.973191,26.37773,38820.626869,21.289691,59.895833,3.198022,3.942204,1.0
adaptive,200,42,0.977708,40.046933,1561.835831,4006.916155,0.022292,0.997954,0.366393,0.366393,1.0,491.882568,52.36078,264.26774,48.849383,20962.393694,4.08215,3.729167,3.559204,5.076857,1.0
adaptive,200,7,0.98875,40.4992,1552.300549,3861.21011,0.01125,0.999153,0.358674,0.358674,1.0,492.42297,52.344677,264.917007,49.346845,20751.07334,3.963727,2.520833,3.638514,5.164289,1.0
adaptive,200,99,0.984167,40.311467,1530.076447,3873.868562,0.015833,0.99863,0.355859,0.355859,1.0,487.864942,52.449275,260.795469,49.576999,20654.739309,3.997027,2.729167,3.620438,5.142917,1.0
laca,200,42,0.937083,38.382933,1859.594493,4555.805024,0.062917,0.989359,0.352963,0.352963,0.992852,532.790282,51.206926,310.951511,43.224812,23690.097033,4.9592,9.104167,3.432426,4.5594,1.0
laca,200,7,0.941667,38.570667,1919.545239,4625.910068,0.058333,0.993271,0.350429,0.350429,0.993008,532.580466,51.215503,310.590127,43.45334,23565.507338,4.856444,8.895833,3.425678,4.486068,1.0
laca,200,99,0.940625,38.528,1948.675144,4715.010492,0.059375,0.992648,0.353394,0.353272,0.990633,534.623339,51.168499,312.445177,43.239414,23682.096979,4.845534,9.395833,3.433697,4.538828,1.0
chang2019,200,42,0.433333,17.749333,2240.227418,5277.567145,0.566667,0.766223,0.691619,0.685763,1.0,645.484328,48.419612,422.163556,16.498619,62065.800812,20.707288,59.270833,3.513095,4.457773,1.0
chang2019,200,7,0.422083,17.288533,2254.157095,5171.196662,0.577917,0.788875,0.708183,0.700315,1.0,647.265317,48.411438,422.315549,16.026071,63895.885153,19.858295,60.291667,3.461106,4.427929,1.0
chang2019,200,99,0.447917,18.346667,2183.324789,5193.467875,0.552083,0.775275,0.690746,0.683148,1.0,645.737282,48.435566,421.413408,17.04718,60068.584365,20.162544,57.708333,3.565028,4.783631,1.0
tasm_raw,200,42,0.982292,40.234667,1497.427076,3699.285467,0.017708,0.998519,0.36859,0.36859,0.997122,492.294915,52.365859,263.98586,49.037273,20882.074863,3.955008,3.145833,3.696698,5.294444,1.0
tasm_raw,200,7,0.953958,39.074133,1554.80569,4080.076565,0.046042,0.991425,0.386306,0.386306,0.998623,485.552576,52.541062,256.978144,48.284122,21207.799799,4.442794,6.395833,3.513758,4.962884,1.0
tasm_raw,200,99,0.983125,40.2688,1441.326612,3610.586481,0.016875,0.997204,0.344856,0.344856,0.997274,485.521127,52.478419,259.78119,49.763602,20577.288705,3.958767,2.708333,3.631956,5.047676,1.0
traw,200,42,0.938958,38.459733,1585.545671,3884.820756,0.061042,0.996529,0.429631,0.429631,0.99895,504.736999,52.165173,271.453367,45.718543,22397.914309,4.529592,7.1875,4.169454,6.466329,1.0
traw,200,7,0.941458,38.562133,1606.793012,3916.598477,0.058542,0.996485,0.426567,0.426567,0.997891,501.979032,52.228761,268.943511,46.092124,22216.376707,4.527291,7.291667,4.149616,6.294368,1.0
traw,200,99,0.931458,38.152533,1600.004148,3915.360529,0.068542,0.995322,0.435416,0.435416,0.998141,512.702698,51.966489,279.377652,44.648722,22934.587253,4.658168,8.0,4.40325,6.983577,1.0
no_raw,400,42,0.130208,10.666667,2873.785881,5052.196173,0.869792,0.876234,0.865136,0.803083,1.0,2513.438186,0.0,2361.655149,1.273156,804300.21952,21.967728,87.770833,32.78026,81.693464,1.0
no_raw,400,7,0.127188,10.4192,2869.346239,5001.086153,0.872812,0.879656,0.866233,0.805248,1.0,2513.45501,0.0,2361.654484,1.243611,823408.684597,22.097899,87.927083,33.497014,83.363924,1.0
no_raw,400,99,0.129479,10.606933,2864.56814,5061.670584,0.870521,0.876474,0.865591,0.803563,1.0,2513.448049,0.0,2361.654255,1.266022,808832.839732,21.89419,87.927083,31.88917,79.84322,1.0
static,400,42,0.364896,29.892267,3242.718613,8663.462893,0.635104,0.669713,0.491221,0.490692,1.0,465.222756,52.222685,274.056953,19.276099,53122.781128,23.756926,70.520833,7.40362,10.433825,1.0
static,400,7,0.366042,29.986133,3332.740538,8965.871661,0.633958,0.671991,0.489422,0.488894,1.0,472.616972,52.032903,281.648818,19.034103,53798.17551,23.570439,70.6875,7.548777,10.456463,0.9975
static,400,99,0.366354,30.011733,3290.718318,8910.219637,0.633646,0.668538,0.489684,0.488837,1.0,464.754579,52.234296,273.593658,19.372633,52858.069819,24.101347,70.552083,7.417152,10.397589,1.0
adaptive,400,42,0.427396,35.012267,3125.121782,7772.606517,0.572604,0.769392,0.501969,0.501603,1.0,487.173521,51.811202,289.752162,21.560449,47494.372039,19.588126,64.072917,7.978399,11.998448,1.0
adaptive,400,7,0.430312,35.2512,3162.236386,7844.248989,0.569688,0.769283,0.500733,0.500183,1.0,489.148007,51.759748,291.814295,21.619959,47363.641409,20.03364,63.84375,7.830108,11.921232,0.9975
adaptive,400,99,0.429688,35.2,3213.99822,8192.830248,0.570312,0.777409,0.500962,0.500137,1.0,485.797043,51.846788,288.326723,21.737473,47107.592074,19.528896,64.239583,7.86113,12.002359,1.0
laca,400,42,0.385104,31.547733,3668.073759,9073.828949,0.614896,0.752811,0.480809,0.480187,0.986823,483.368254,51.777069,291.777425,19.579937,52298.431605,22.117486,70.84375,7.282875,10.178985,0.9975
laca,400,7,0.383437,31.4112,3824.230896,9421.644639,0.616563,0.756176,0.481881,0.481881,0.989822,477.342258,51.930513,285.646236,19.741307,51870.932652,21.582619,71.46875,7.260583,10.152209,1.0
laca,400,99,0.381979,31.291733,3755.65761,9444.959965,0.618021,0.747332,0.482597,0.481766,0.986678,477.316812,51.930645,285.642945,19.667273,52066.191653,21.831949,71.0625,7.2461,9.954559,1.0
chang2019,400,42,0.185729,15.214933,2572.583765,5188.082557,0.814271,0.691046,0.763192,0.737375,1.0,964.692832,39.615197,777.472654,4.731537,216420.152906,27.909622,82.802083,11.654823,20.284683,1.0
chang2019,400,7,0.187292,15.342933,2532.189591,5172.885442,0.812708,0.681796,0.760202,0.736048,1.0,955.860806,39.841795,768.407312,4.815429,212649.789937,28.327221,82.635417,11.40281,19.97928,1.0
chang2019,400,99,0.189792,15.547733,2484.430344,5133.604295,0.810208,0.703179,0.755131,0.733211,1.0,913.004229,40.939104,724.519922,5.108761,200440.006355,28.427867,82.239583,11.604001,20.011792,0.9975
tasm_raw,400,42,0.441875,36.1984,3133.147839,7856.88167,0.558125,0.787963,0.50427,0.503469,0.999382,488.50676,51.811116,289.582698,22.23003,46063.815199,18.902366,62.697917,8.007721,12.584207,1.0
tasm_raw,400,7,0.443333,36.317867,3116.166472,7922.119076,0.556667,0.787956,0.498969,0.49879,0.999482,492.932145,51.688943,294.513199,22.103164,46328.209076,19.355117,62.770833,7.911958,12.484333,1.0
tasm_raw,400,99,0.448542,36.744533,2976.485297,7384.85811,0.551458,0.724917,0.503182,0.502917,0.999286,489.765865,51.785789,290.560552,22.507408,45496.132382,20.121453,61.270833,7.635687,11.988419,1.0
traw,400,42,0.444688,36.4288,2825.580027,6876.270807,0.555312,0.725665,0.51554,0.514414,0.997907,506.03158,51.39348,306.133639,21.596755,47414.53083,20.451117,60.322917,8.686334,13.468841,1.0
traw,400,7,0.439479,36.002133,2797.87587,6850.080228,0.560521,0.696149,0.518451,0.517496,0.998503,506.067035,51.388958,306.3347,21.342311,47979.808927,21.729493,60.25,8.537031,13.485265,1.0
traw,400,99,0.443646,36.343467,2845.278904,6941.720045,0.556354,0.717993,0.51435,0.51331,0.998999,503.111905,51.466156,303.236651,21.671203,47251.646409,20.398925,60.270833,8.46572,13.165296,1.0
no_raw,600,42,0.084931,10.436267,2958.193753,5054.899515,0.915069,0.813169,0.818231,0.764934,1.0,2498.237645,0.0,2363.565103,0.83549,1225627.626143,33.025723,92.0,47.727625,119.616204,0.821667
no_raw,600,7,0.086181,10.589867,2935.010529,5047.71785,0.913819,0.801618,0.816361,0.763428,1.0,2498.237787,0.0,2363.56528,0.847787,1207850.662584,33.210633,91.895833,47.143286,119.988316,0.813333
no_raw,600,99,0.085139,10.461867,2941.576991,5028.098352,0.914861,0.804696,0.817554,0.764783,1.0,2498.233246,0.0,2363.565432,0.837541,1222626.384731,33.33988,91.965278,48.341465,119.80832,0.818333
static,600,42,0.262986,32.315733,3749.238456,9172.697205,0.737014,0.716979,0.497575,0.496969,1.0,512.434289,50.82835,330.766153,12.612635,81188.427044,29.962963,79.756944,12.306075,19.208563,1.0
static,600,7,0.262639,32.273067,3599.806983,8798.897284,0.737361,0.70708,0.497531,0.497271,1.0,508.200701,50.936502,326.442318,12.700914,80624.119708,29.967892,79.1875,11.920343,18.795863,0.998333
static,600,99,0.261389,32.119467,3735.776002,9223.358895,0.738611,0.731154,0.49909,0.498744,1.0,511.011519,50.864498,329.322293,12.570936,81457.734228,30.025747,79.694444,12.065056,18.945656,0.998333
adaptive,600,42,0.248472,30.532267,4160.414178,10079.714605,0.751528,0.671729,0.528156,0.527467,1.0,530.365975,50.372456,348.992015,11.51366,88937.838206,27.575019,82.4375,12.737554,20.228295,1.0
adaptive,600,7,0.249097,30.609067,4066.631619,10012.119308,0.750903,0.656652,0.527938,0.526474,1.0,529.590733,50.392467,348.190359,11.559517,88585.012422,27.858286,81.951389,12.70366,19.987869,1.0
adaptive,600,99,0.247639,30.429867,4059.098513,10078.463323,0.752361,0.664428,0.528642,0.527952,1.0,525.503197,50.496818,344.019067,11.58123,88418.933829,27.964821,81.986111,12.49932,19.722364,1.0
laca,600,42,0.225903,27.758933,4927.601168,12933.004838,0.774097,0.657325,0.501592,0.501592,0.979866,500.016146,51.064979,321.717756,11.103215,92225.541804,29.431435,85.631944,11.159033,15.949661,1.0
laca,600,7,0.222153,27.298133,4969.208137,13199.449165,0.777847,0.660883,0.50816,0.507677,0.983319,503.211675,50.982394,325.025936,10.849563,94381.683292,29.585638,85.826389,11.145641,15.821849,0.998333
laca,600,99,0.219028,26.914133,5026.633388,13271.189607,0.780972,0.646779,0.512162,0.511583,0.981561,501.941118,51.015567,323.697272,10.72402,95486.579191,29.844597,86.229167,11.25969,15.951968,1.0
chang2019,600,42,0.118125,14.5152,2933.495129,6041.658793,0.881875,0.654764,0.733509,0.710092,1.0,985.902394,38.723017,814.88221,2.944551,347760.985362,33.233942,89.506944,18.489066,31.983592,1.0
chang2019,600,7,0.117014,14.378667,2994.162122,6413.155541,0.882986,0.627675,0.734223,0.711237,1.0,968.510562,39.169454,797.022045,2.969233,344870.229875,33.564269,89.756944,18.354865,31.971857,1.0
chang2019,600,99,0.118472,14.557867,3007.206604,6406.640469,0.881528,0.670923,0.73302,0.708045,1.0,974.040683,39.027373,802.706885,2.98917,342569.994095,32.77826,89.6875,18.490799,32.094556,0.998333
tasm_raw,600,42,0.239028,29.371733,3954.781125,10006.449599,0.760972,0.558559,0.543467,0.542524,0.999893,540.974128,50.10367,359.731899,10.858831,94301.126271,31.009823,81.451389,12.457289,19.607308,0.998333
tasm_raw,600,7,0.256319,31.496533,4076.051625,10755.986639,0.743681,0.641497,0.526503,0.52608,0.998634,524.107933,50.546451,341.96293,12.019102,85197.713299,28.235337,80.159722,12.248485,19.209659,1.0
tasm_raw,600,99,0.238681,29.329067,4318.918849,11181.19361,0.761319,0.587132,0.544295,0.543525,1.0,533.147323,50.305637,351.647052,11.002237,93071.979527,29.931035,81.854167,12.402462,19.798335,1.0
traw,600,42,0.278958,34.2784,3783.127331,9628.642219,0.721042,0.572202,0.513784,0.512553,0.996655,548.057332,49.959388,365.304121,12.509056,81860.691796,28.136063,77.770833,13.21624,21.461221,0.998333
traw,600,7,0.276458,33.9712,3632.194617,9400.413012,0.723542,0.548907,0.514255,0.512941,0.997468,547.699592,49.967041,365.006237,12.405048,82547.037287,29.111695,77.326389,13.322813,21.510424,1.0
traw,600,99,0.277778,34.133333,3919.62336,10004.439276,0.722222,0.560106,0.515218,0.513909,0.997077,541.257722,50.135945,358.231647,12.612599,81188.65835,28.603217,78.069444,12.933432,21.011487,1.0
no_raw,800,42,0.06349,10.402133,2821.07284,5004.212467,0.93651,0.803883,0.775923,0.726229,1.0,2490.670544,0.0,2364.520175,0.626466,1634566.394837,40.153892,93.973958,49.138993,119.709572,0.6
no_raw,800,7,0.063542,10.410667,2848.744651,4977.480583,0.936458,0.791766,0.776637,0.72623,1.0,2490.675123,0.0,2364.519919,0.626979,1633229.588634,40.105205,93.932292,49.409653,119.575968,0.60875
no_raw,800,99,0.062865,10.299733,2878.772419,5066.2205,0.937135,0.802264,0.77787,0.727039,1.0,2490.67443,0.0,2364.520421,0.620298,1650819.837835,40.420301,94.067708,49.585674,119.943932,0.59875
static,800,42,0.189583,31.061333,3649.801361,8945.964256,0.810417,0.716195,0.465178,0.464764,1.0,545.77614,49.802111,372.677561,8.536833,119950.800087,37.284746,85.114583,15.952582,25.182549,1.0
static,800,7,0.188698,30.916267,3792.329807,9010.270689,0.811302,0.705877,0.467251,0.466589,1.0,545.92306,49.798362,372.828423,8.494677,120546.080141,37.147121,85.421875,15.965189,24.751265,1.0
static,800,99,0.19,31.1296,3740.242098,8994.697096,0.81,0.717833,0.466149,0.465818,1.0,548.935113,49.721501,375.90051,8.506361,120380.507258,37.019859,85.317708,16.128066,25.002049,1.0
adaptive,800,42,0.17026,27.895467,5025.496119,13543.425742,0.82974,0.616398,0.529215,0.528154,1.0,595.684541,48.529488,423.562903,7.024389,145777.80148,31.438798,89.1875,17.466403,28.138395,1.0
adaptive,800,7,0.170469,27.9296,5005.060714,13920.465976,0.829531,0.608362,0.529124,0.527982,1.0,598.113616,48.467266,426.051879,7.004422,146193.367915,31.427583,88.942708,17.602516,28.193895,1.0
adaptive,800,99,0.169115,27.707733,5002.662505,13123.95076,0.830885,0.622682,0.53114,0.530242,1.0,602.143086,48.36396,430.184099,6.90228,148356.7813,31.481539,89.177083,17.682257,28.408749,0.99875
laca,800,42,0.148906,24.3968,5995.049102,16921.583599,0.851094,0.616729,0.51402,0.513839,0.979882,550.670712,49.622199,380.162738,6.645569,154087.642347,33.712969,91.463542,15.188581,21.867593,1.0
laca,800,7,0.149062,24.4224,5818.671409,15526.628156,0.850938,0.612955,0.514366,0.513824,0.97865,551.444439,49.603032,380.926434,6.643208,154142.400968,33.871348,91.46875,15.231644,21.93434,1.0
laca,800,99,0.151146,24.763733,5921.533041,16782.927195,0.848854,0.613943,0.508928,0.508837,0.980193,553.736706,49.542794,383.34171,6.70817,152649.677848,33.874751,91.385417,15.237206,21.715621,0.99875
chang2019,800,42,0.082552,13.525333,3598.820339,7931.819819,0.917448,0.723972,0.709955,0.686614,1.0,1061.557636,36.607678,900.36352,1.911154,535801.961383,35.260099,93.354167,25.041447,43.484356,0.99875
chang2019,800,7,0.08349,13.678933,3547.267741,7581.303135,0.91651,0.706713,0.708222,0.685356,1.0,1060.150628,36.643818,898.91734,1.935423,529083.282891,35.343834,93.322917,25.073989,43.9277,1.0
chang2019,800,99,0.083125,13.6192,3547.609457,7460.671463,0.916875,0.713839,0.708519,0.685947,1.0,1065.296259,36.511623,904.206449,1.917664,533983.087144,35.126405,93.296875,25.292979,43.772292,0.99875
tasm_raw,800,42,0.177448,29.073067,5417.292281,15499.57776,0.822552,0.562408,0.516656,0.516003,0.999671,585.841858,48.781923,413.46202,7.44392,137561.927307,32.823008,88.322917,16.720122,27.011116,1.0
tasm_raw,800,7,0.177969,29.1584,5577.645166,17866.2974,0.822031,0.515379,0.51365,0.513324,0.999452,585.361576,48.79362,412.997057,7.471895,137046.901082,33.844164,87.71875,16.553601,27.235436,1.0
tasm_raw,800,99,0.175729,28.791467,5196.013923,15475.06821,0.824271,0.535077,0.521314,0.520906,0.999564,594.874286,48.551228,422.686464,7.259887,141049.03049,32.539841,88.270833,17.182084,27.932459,1.0
traw,800,42,0.206771,33.877333,5194.65015,14996.426848,0.793229,0.460886,0.4776,0.476566,0.998839,609.972589,48.18064,437.414307,8.330866,122916.390722,34.414698,83.880208,17.856761,28.590509,0.99875
traw,800,7,0.200104,32.785067,4672.481292,13142.037669,0.799896,0.450281,0.498624,0.497288,0.999374,603.987425,48.341539,430.946675,8.142156,125765.210909,34.124636,84.796875,17.690434,29.145557,1.0
traw,800,99,0.206719,33.8688,5290.213799,16464.347965,0.793281,0.473422,0.481,0.480054,0.998331,593.937289,48.598092,420.685448,8.55363,119715.251014,34.975918,84.041667,17.04856,26.819657,1.0
no_raw,1000,42,0.049083,10.052267,2868.344273,5024.010971,0.950917,0.793454,0.739345,0.692754,1.0,2486.132099,0.0,2365.093369,0.4852,2110468.675224,44.221902,95.35,51.1664,119.45824,0.482
no_raw,1000,7,0.049542,10.146133,2925.537089,5020.923859,0.950458,0.790585,0.738555,0.691895,1.0,2486.128244,0.0,2365.093388,0.489732,2090940.491348,44.313588,95.333333,51.950357,119.800948,0.486
no_raw,1000,99,0.048917,10.018133,2855.264518,5018.924593,0.951083,0.813725,0.739223,0.692884,1.0,2486.134185,0.0,2365.092964,0.483552,2117661.145667,44.019247,95.370833,50.526506,119.802268,0.488
static,1000,42,0.149208,30.557867,3778.311168,9032.259359,0.850792,0.7161,0.431183,0.430787,1.0,598.946939,48.335983,431.838916,6.122319,167256.894458,41.480751,88.695833,19.835355,30.828871,1.0
static,1000,7,0.144833,29.661867,3628.854774,8951.563961,0.855167,0.712626,0.437871,0.437554,1.0,606.14461,48.151638,439.21281,5.872236,174379.922219,41.488515,88.691667,20.218735,31.55404,1.0
static,1000,99,0.148542,30.421333,3677.15272,8917.898371,0.851458,0.708765,0.432334,0.432255,1.0,603.730424,48.213543,436.7357,6.046672,169349.347632,41.483395,88.4875,20.095469,31.122876,1.0
adaptive,1000,42,0.126917,25.992533,5930.107419,16784.465676,0.873083,0.628513,0.521975,0.521199,1.0,681.148408,46.236666,515.787899,4.579184,223620.619941,33.166444,92.775,22.74855,36.969508,1.0
adaptive,1000,7,0.12525,25.6512,5945.067929,16410.313193,0.87475,0.629864,0.525924,0.525303,1.0,682.389622,46.204958,517.056464,4.510831,227009.188798,33.297863,92.933333,22.827718,37.199611,1.0
adaptive,1000,99,0.126292,25.864533,5960.758134,16907.240696,0.873708,0.606247,0.524689,0.523913,1.0,678.550149,46.30331,513.122909,4.574082,223870.058964,33.711449,92.779167,22.508804,36.482375,0.999
laca,1000,42,0.111208,22.775467,7285.879327,21916.501744,0.888792,0.611097,0.507507,0.507422,0.977401,614.755154,47.891887,449.815454,4.445763,230331.642671,36.171676,94.454167,19.389894,27.936771,1.0
laca,1000,7,0.111583,22.852267,7280.087391,21436.588451,0.888417,0.61098,0.507674,0.507077,0.977472,617.469953,47.822664,452.582724,4.441142,230571.304187,36.265028,94.645833,19.535762,27.994801,1.0
laca,1000,99,0.109875,22.5024,7256.776544,21121.898048,0.890125,0.614236,0.509246,0.509161,0.981983,614.645464,47.895175,449.681942,4.393245,233085.120895,36.429655,94.491667,19.386295,27.94008,1.0
chang2019,1000,42,0.065583,13.431467,4040.302575,8849.208746,0.934417,0.739545,0.672434,0.65618,1.0,1163.581671,33.884457,1009.819539,1.385185,739251.379076,35.993808,95.2125,32.259068,55.98556,1.0
chang2019,1000,7,0.065125,13.3376,4044.350832,8641.051065,0.934875,0.758922,0.674704,0.657032,1.0,1157.717724,34.034947,1003.799752,1.382472,740702.318818,36.109783,95.15,31.872572,55.502412,1.0
chang2019,1000,99,0.065167,13.346133,3884.225915,8495.320972,0.934833,0.764405,0.673872,0.657267,1.0,1169.350481,33.737045,1015.713605,1.369595,747666.547956,35.814886,95.070833,32.643157,56.995683,1.0
tasm_raw,1000,42,0.143167,29.320533,7073.801902,23021.496911,0.856833,0.527454,0.484169,0.483778,0.991656,663.082086,46.697028,497.380078,5.306227,192980.816653,35.147487,91.05,21.655161,34.989943,1.0
tasm_raw,1000,7,0.145417,29.781333,7120.888673,27417.175497,0.854583,0.518826,0.474986,0.474595,0.989786,662.260898,46.717639,496.555664,5.396302,189759.569593,36.056814,90.879167,21.599324,33.762173,1.0
tasm_raw,1000,99,0.148458,30.404267,6999.441736,23982.043221,0.851542,0.508727,0.472103,0.471164,0.995268,664.922642,46.649517,499.279438,5.487123,186618.760051,36.346951,90.45,21.680929,35.129447,0.999
traw,1000,42,0.162708,33.322667,5862.005619,21467.455033,0.837292,0.412276,0.461961,0.461058,0.998203,664.012872,46.694431,497.37102,6.022052,170041.708689,38.227726,87.791667,21.390823,34.898977,1.0
traw,1000,7,0.153833,31.505067,6182.323775,20957.559918,0.846167,0.43989,0.483585,0.482007,0.99862,674.039566,46.437962,507.631565,5.608881,182567.596395,36.342659,89.2125,22.13016,37.152891,0.999
traw,1000,99,0.156708,32.093867,5962.782047,19436.011164,0.843292,0.436571,0.476391,0.475415,0.99863,663.309317,46.713287,496.615606,5.806136,176365.146703,37.39691,88.729167,21.526367,35.4286,1.0
