num_stas,pkt_interval_s,policy,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,e_total_mj,e_tx_mj,e_rx_mj,e_idle_mj,e_sleep_mj,e_retx_mj,retx_energy_pct,avg_tx_retries,ee_kbit_j,e_per_pkt_uj,assoc_mean_ms,assoc_max_ms,assoc_scan_ms,assoc_auth_ms,assoc_req_ms,assoc_frac
200,5.0,chang2019,7,0.466744,20.48,1694.832054,4951.876601,0.533256,0.810583,0.647066,0.64265,1.0,640.65155,71.73252,102.352113,418.042661,48.524256,41.049,6.407383,22.805,19.180473,53387.629173,3637.72706,4935.453333,7.1,1503.64546,2126.9816,1.0
200,5.0,chang2019,99,0.415994,17.578667,1762.52436,5261.038294,0.584006,0.81614,0.662692,0.6547,1.0,640.166158,65.241744,102.222723,424.315174,48.386517,38.223,5.970794,21.235,16.475723,62152.054211,3613.426113,4908.997333,7.1,1514.65174,2091.674373,1.0
200,5.0,adaptive,42,0.972941,41.728,1369.825444,4857.146229,0.027059,0.963949,0.000878,0.000878,0.532528,395.720953,45.54252,103.300854,192.653495,54.224084,0.036,0.009097,0.02,63.268826,16184.906038,3054.225607,3734.418667,7.1,1512.1506,1534.975007,1.0
200,5.0,adaptive,7,0.974209,41.258667,1279.377756,4526.640906,0.025791,0.960121,0.001595,0.001595,0.543781,393.410984,45.085584,103.280947,190.771899,54.272554,0.027,0.006863,0.015,62.924527,16273.463674,3047.251327,3765.173333,7.1,1509.622713,1530.528613,1.0
200,5.0,adaptive,99,0.971729,41.0624,1205.573093,4404.384068,0.028271,0.970776,0.001601,0.001601,0.566244,393.796084,44.882712,103.272061,191.38341,54.257901,0.027,0.006856,0.015,62.563954,16367.252043,3072.88564,3754.425333,7.1,1509.833747,1555.951893,1.0
400,5.0,static,42,0.328949,27.9552,5610.739762,16296.126263,0.671051,0.861743,0.002663,0.002663,0.072712,359.621154,16.273032,102.14061,186.745056,54.462456,0.0135,0.003754,0.0075,23.320541,43909.786862,6109.767313,7321.356,7.1,3046.518313,3056.149,1.0
400,5.0,static,7,0.329666,28.125867,5379.68445,15989.394459,0.670334,0.860032,0.000816,0.000816,0.072837,358.579148,16.336632,102.143632,185.608208,54.490676,0.0,0.0,0.0,23.531095,43516.886921,6024.204223,7250.629333,7.1,3011.896163,3005.20806,1.0
400,5.0,static,99,0.334535,28.5184,5483.643945,16456.36387,0.665465,0.869676,0.002021,0.002021,0.073854,360.881378,16.569888,102.154296,187.720047,54.437146,0.0135,0.003741,0.0075,23.707291,43193.4623,6113.08894,7315.522667,7.1,3055.627127,3050.361813,1.0
400,5.0,laca,42,0.578175,49.416533,986.134378,4058.93779,0.421825,0.946155,0.184033,0.182925,0.994931,428.325438,34.917732,102.585121,237.689106,53.133479,6.255,1.460338,3.475,34.61144,29585.594081,7186.88116,10464.857333,7.1,3045.098217,4134.682943,1.0
400,5.0,laca,7,0.57236,48.6656,994.541313,4023.266002,0.42764,0.943477,0.187025,0.185797,0.994605,426.064655,34.559076,102.56877,235.753819,53.18299,6.264,1.470199,3.48,34.266349,29883.545845,7156.458607,10229.509333,7.1,3015.79501,4133.563597,1.0
400,5.0,laca,99,0.572242,48.0256,1004.57146,4005.128095,0.427758,0.942339,0.198821,0.197932,0.994637,429.46149,34.742088,102.556506,239.063046,53.099849,6.5925,1.535062,3.6625,33.548247,30523.204702,7269.681397,10427.836,7.1,3056.097117,4206.48428,1.0
400,5.0,chang2019,42,0.195102,16.520533,1923.074942,5086.257515,0.804898,0.673772,0.74374,0.722014,1.0,921.51941,45.822804,101.79723,733.177033,40.722343,30.5235,3.312301,16.9575,5.378248,190396.572234,11064.696307,18996.974667,7.1,3050.130429,8007.465878,0.9975
400,5.0,chang2019,7,0.196515,16.648533,1850.169629,5143.079198,0.803485,0.654266,0.742932,0.719737,1.0,915.606468,45.643776,101.79723,727.295586,40.869877,30.4155,3.321897,16.8975,5.45492,187720.444535,11112.705671,18990.606667,7.1,3020.576431,8085.02924,0.9975
400,5.0,chang2019,99,0.197712,16.810667,1891.449827,4984.108594,0.802288,0.675738,0.740256,0.719505,1.0,868.390592,45.855192,101.804872,678.645036,42.085492,30.348,3.494741,16.86,5.807525,176322.962775,11130.80529,19244.616,7.1,3052.945877,8070.759413,1.0
400,5.0,adaptive,42,0.716239,60.782933,4076.716965,11987.138833,0.283761,0.899075,0.002402,0.002402,0.223334,408.034551,33.63552,102.826306,217.944002,53.628724,0.036,0.008823,0.02,44.689549,22913.63478,6167.043527,7652.610667,7.1,3036.96908,3122.974447,1.0
400,5.0,adaptive,7,0.718901,60.757333,4166.645921,11987.262722,0.281099,0.915564,0.001717,0.001717,0.223241,407.647193,33.58986,102.826128,217.593594,53.637612,0.018,0.004416,0.01,44.713174,22901.527724,6177.80076,7649.184,7.1,3014.114533,3156.586227,1.0
400,5.0,adaptive,99,0.713842,60.7744,4138.338114,12120.028942,0.286158,0.90611,0.002288,0.002288,0.219849,409.964634,33.63426,102.827017,219.92414,53.579218,0.0675,0.016465,0.0375,44.472909,23025.253248,6265.150287,7810.426667,7.1,3058.446443,3199.603843,1.0
600,5.0,static,42,0.292896,37.6832,5902.852142,15979.59294,0.707104,0.84833,0.002491,0.002491,0.064042,406.004701,14.76124,102.083973,235.921795,53.237694,0.009,0.002217,0.005,18.562938,55163.682243,9217.809873,11229.765333,7.1,4567.360249,4643.349624,1.0
600,5.0,static,7,0.297099,37.666133,5962.937167,16040.272423,0.702901,0.826385,0.003076,0.003076,0.064522,405.043806,14.764736,102.082788,234.933891,53.262391,0.015,0.003703,0.008333,18.598548,55058.061495,9161.524384,11081.257333,7.1,4550.62784,4603.796544,1.0
600,5.0,static,99,0.296587,37.674667,5804.227527,16072.24746,0.703413,0.841476,0.002931,0.002931,0.064148,405.975822,14.763992,102.083025,235.890324,53.238481,0.006,0.001478,0.003333,18.560054,55172.252119,9216.651702,11180.445333,7.1,4584.637827,4624.913876,1.0
600,5.0,laca,42,0.345932,44.987733,2634.950647,6879.797617,0.654068,0.881876,0.371201,0.37028,0.990415,488.851304,30.079864,102.165493,305.141967,51.46398,8.883,1.817117,4.935,18.405488,55635.580927,11207.806364,17285.242667,7.1,4547.932667,6652.773698,1.0
600,5.0,laca,7,0.351546,45.021867,2564.611572,6805.469687,0.648454,0.882417,0.37384,0.373087,0.990197,483.800296,30.115864,102.164071,299.926072,51.594289,8.994,1.859032,4.996667,18.611757,55018.987409,10928.885227,16441.624,7.1,4534.496182,6387.289044,1.0
600,5.0,laca,99,0.352044,44.526933,2582.3175,6669.197745,0.647956,0.883569,0.376786,0.375783,0.992873,486.169231,30.14724,102.160161,302.327635,51.534195,9.045,1.860463,5.025,18.317463,55902.939518,11038.354387,16690.782667,7.1,4559.559942,6471.694444,1.0
600,5.0,chang2019,42,0.110197,14.173867,2479.810431,5824.0084,0.889803,0.733482,0.74,0.71251,1.0,958.774338,30.705528,101.649,786.99985,39.419961,20.676,2.156503,11.486667,2.956664,346336.305231,17779.29616,30992.148,7.1,4563.03398,13209.16218,1.0
600,5.0,chang2019,7,0.111709,14.353067,2457.497306,5575.746916,0.888291,0.712913,0.73566,0.709736,1.0,960.305759,30.705088,101.654806,788.565081,39.380784,20.637,2.149003,11.465,2.98927,342558.534876,17879.806496,31469.345333,7.1,4537.309169,13335.397327,1.0
600,5.0,chang2019,99,0.114422,14.2848,2395.657691,5826.98367,0.885578,0.693692,0.736183,0.709414,1.0,953.803147,30.673712,101.656109,781.9265,39.546825,20.703,2.170574,11.501667,2.995335,341864.927102,17289.027043,30479.28,7.1,4574.106166,12707.820877,0.998333
600,5.0,adaptive,42,0.468904,59.963733,5465.147442,15498.07839,0.531096,0.777622,0.003805,0.003805,0.118335,432.697864,22.663888,102.391451,254.903813,52.738712,0.033,0.007627,0.018333,27.716214,36945.882807,9455.732452,11879.838667,7.1,4554.959492,4893.672959,0.998333
600,5.0,adaptive,7,0.475669,60.0576,6418.094836,19651.897378,0.524331,0.7161,0.002642,0.002642,0.122172,427.147303,22.663792,102.39074,249.211751,52.881019,0.027,0.006321,0.015,28.120323,36414.944807,9362.926184,11762.305333,7.1,4533.298938,4822.527247,1.0
600,5.0,adaptive,99,0.475658,59.946667,6294.182829,17866.564714,0.524342,0.74355,0.003173,0.003173,0.121428,427.808311,22.643672,102.392755,249.908237,52.863647,0.027,0.006311,0.015,28.025013,36538.788113,9391.309658,11671.050667,7.1,4565.097264,4819.112393,1.0
800,5.0,static,42,0.299068,50.944,5876.908021,16006.680765,0.700932,0.809561,0.003696,0.003696,0.069324,464.01887,14.981214,102.091645,295.190713,51.755298,0.018,0.003879,0.01,16.468296,62180.083122,12603.12981,15635.922667,7.1,6112.678258,6483.351552,1.0
800,5.0,static,7,0.301616,50.961067,5736.402311,15948.317889,0.698384,0.81822,0.004349,0.004349,0.069112,459.822049,14.961348,102.089245,290.909041,51.862414,0.0225,0.004893,0.0125,16.62417,61597.059482,12389.92751,15419.870667,7.1,6050.652023,6332.175487,1.0
800,5.0,static,99,0.299469,51.037867,5943.52961,16324.327082,0.700531,0.809968,0.004998,0.004998,0.069034,463.48338,14.980338,102.090845,294.643203,51.768995,0.018,0.003884,0.01,16.517701,61994.09871,12573.697595,15550.386667,7.1,6067.567197,6499.030398,1.0
800,5.0,laca,42,0.227374,39.210667,3407.337961,8549.321704,0.772626,0.798982,0.41056,0.409612,0.986813,555.121616,22.70499,101.938654,380.88526,49.592713,7.81875,1.408475,4.34375,10.595156,96647.941912,15906.272427,25760.82,7.1,6092.400449,9806.771978,0.99875
800,5.0,laca,7,0.226506,38.7072,3216.734468,8166.894837,0.773494,0.786211,0.414528,0.413897,0.988984,548.756806,22.723656,101.933729,374.343167,49.756253,7.85925,1.432192,4.36625,10.580425,96782.505393,15691.205558,25844.142667,7.1,6047.966313,9636.139245,1.0
800,5.0,laca,99,0.229749,38.869333,3241.827106,8153.711445,0.770251,0.789207,0.412369,0.411421,0.987368,552.512674,22.717236,101.93675,378.198833,49.659855,7.7895,1.409832,4.3275,10.552518,97038.4499,15886.632723,26117.664,7.1,6065.87774,9813.654983,1.0
800,5.0,chang2019,42,0.079399,13.474133,2926.92613,7009.179461,0.920601,0.743275,0.707252,0.684751,1.0,1046.219661,22.954794,101.607588,884.65688,37.000399,15.37875,1.469935,8.54375,1.931831,530066.959182,24143.761033,42493.058667,7.1,6120.235287,18016.425747,1.0
800,5.0,chang2019,7,0.078607,13.3632,2839.313782,6661.007773,0.921393,0.753922,0.710069,0.686815,1.0,1044.548582,22.984014,101.603411,882.917316,37.04384,15.41025,1.475302,8.56125,1.918992,533613.579495,24034.305508,42492.392,7.1,6050.882167,17976.323342,1.0
800,5.0,chang2019,99,0.080577,13.7216,2930.129222,7033.32863,0.919423,0.690005,0.702963,0.68164,1.0,1050.914298,22.944918,101.612565,889.476931,36.879885,15.327,1.458444,8.515,1.958523,522842.934434,24336.98666,42476.216,7.1,6063.930783,18265.955877,0.99875
800,5.0,adaptive,42,0.34213,58.299733,5084.120983,13121.539522,0.65787,0.7878,0.00457,0.00457,0.077128,466.605051,16.911582,102.163893,295.795338,51.734238,0.027,0.005786,0.015,18.741675,54637.593828,12574.813032,15914.349333,7.1,6071.217503,6496.495528,1.0
800,5.0,adaptive,7,0.34749,58.368,4320.221996,11334.319782,0.65251,0.804866,0.003775,0.003775,0.075933,466.112614,16.906938,102.165404,295.293487,51.746785,0.0225,0.004827,0.0125,18.783444,54516.09518,12517.220882,15791.0,7.1,6042.188827,6467.932055,1.0
800,5.0,adaptive,99,0.343426,58.2656,5389.064394,14085.095665,0.656574,0.783432,0.005067,0.005067,0.078698,467.441634,16.90506,102.165849,296.658053,51.712672,0.0315,0.006739,0.0175,18.697179,54767.619626,12601.166128,15790.516,7.1,6063.520988,6530.54514,1.0
1000,5.0,static,42,0.265477,56.388267,6280.536492,16485.631479,0.734523,0.787496,0.007216,0.007216,0.06212,517.896753,13.468339,102.028354,352.061827,50.338233,0.0576,0.011122,0.032,13.065523,78374.206033,15910.985105,20027.170667,7.1,7584.041899,8319.843207,1.0
1000,5.0,static,7,0.26303,56.413867,6370.167683,16513.657946,0.73697,0.797328,0.006377,0.006377,0.062121,519.989204,13.467091,102.028994,354.208556,50.284563,0.0558,0.010731,0.031,13.018855,78655.15116,16025.778084,20288.026667,7.1,7595.699715,8422.978369,1.0
1000,5.0,static,99,0.265581,56.507733,6183.474524,16040.892745,0.734419,0.800431,0.004316,0.004316,0.062005,518.039612,13.45464,102.031127,352.21954,50.334306,0.0162,0.003127,0.009,13.089594,78230.083403,15939.050475,20131.902667,7.1,7608.026596,8323.923879,1.0
1000,5.0,laca,42,0.162451,34.688,3704.067816,9249.490878,0.837549,0.738415,0.426634,0.426031,0.984938,635.500718,18.105466,101.816567,468.153928,47.424757,6.84,1.076317,3.8,6.550048,156334.740008,21086.724524,35611.210667,7.1,7603.930897,13475.693627,1.0
1000,5.0,laca,7,0.162797,34.824533,3742.007762,9383.532393,0.837203,0.736602,0.424469,0.423564,0.984938,633.421529,18.104141,101.818161,466.02116,47.478068,6.849,1.08127,3.805,6.597414,155212.332629,20882.526113,34919.524,7.1,7589.041564,13286.384549,0.999
1000,5.0,laca,99,0.16599,34.901333,3714.070734,9334.348384,0.83401,0.740211,0.425136,0.424382,0.985954,633.398516,18.101006,101.818344,466.000576,47.478589,6.831,1.078468,3.795,6.612204,154865.162776,20974.231757,35489.070667,7.1,7594.359943,13372.771815,1.0
1000,5.0,chang2019,42,0.062994,13.3888,3327.635364,8461.356135,0.937006,0.749688,0.672557,0.655859,1.0,1153.56101,18.286478,101.586011,999.547239,34.141281,12.0114,1.041245,6.673,1.392779,735220.52903,31513.510816,54968.78,7.1,7664.408251,23842.002565,0.999
1000,5.0,chang2019,7,0.06141,13.1584,3320.949236,8154.145613,0.93859,0.775021,0.674729,0.657057,1.0,1152.4877,18.29783,101.584518,998.436317,34.169035,12.0798,1.04815,6.711,1.370087,747397.989874,31521.901647,55481.754667,7.1,7599.662776,23915.138871,1.0
1000,5.0,chang2019,99,0.063839,13.525333,3402.424292,8960.771164,0.936161,0.763826,0.670812,0.65463,1.0,1150.318075,18.279658,101.588002,996.226103,34.224313,12.0366,1.046371,6.687,1.410949,725752.728526,31381.758795,54980.152,7.1,7629.078079,23745.580716,1.0
1000,5.0,adaptive,42,0.264232,56.558933,6296.14478,16757.067719,0.735768,0.792827,0.005628,0.005628,0.061917,516.782464,13.459776,102.028354,350.927725,50.366609,0.0216,0.00418,0.012,13.133325,77969.593237,15853.011632,19970.854667,7.1,7586.828932,8259.0827,1.0
1000,5.0,adaptive,7,0.264391,56.516267,6280.050517,16457.723154,0.735609,0.804936,0.005626,0.005626,0.062229,518.160407,13.461403,102.030202,352.337455,50.331347,0.0396,0.007642,0.022,13.088518,78236.51022,15944.415951,20163.476,7.1,7596.652553,8340.663397,1.0
1000,5.0,adaptive,99,0.267017,56.439467,6246.399689,16360.748746,0.732983,0.79584,0.006846,0.006846,0.062245,517.538493,13.460486,102.02942,351.701327,50.347259,0.027,0.005217,0.015,13.086439,78248.940563,15938.528556,19993.838667,7.1,7597.56504,8333.863516,1.0
